unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,lat1,lon1,address1,lat2,lon2,address2,query_location,city,state
20,Women is Losers,2020,Capp St at 25th St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53.0,20.0,2.0,,,,,,,Capp St & 25th St,San Francisco,California
21,Birth of the Dragon,2016,Leavenworth at Green,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,107.0,32.0,3.0,,,,,,,Leavenworth at Green,San Francisco,California
22,The OA Part II,2019,Waverly Pl btwn Washington and Clay St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,,,,,,,,,,Waverly Pl and Washington,San Francisco,California
23,Chance- Season 1 ep107,2016,1958 Valencia St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,,,,,,,,,,1958 Valencia St,San Francisco,California
25,"Murder in the First, Season 1",2014,Berry Street between 3rd and 4th Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,,,,,,,,,,Berry Street and 3rd,San Francisco,California
26,Pushing Dead,2016,Church Street MUNI Station,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,52.0,5.0,5.0,,,,,,,Church Street MUNI Station,San Francisco,California
27,The Right Stuff,1983,Financial District,,The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,108.0,6.0,3.0,,,,,,,Financial District,San Francisco,California
28,Chance- Season 1 ep102,2016,John St. between Powell and Mason,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,16.0,6.0,3.0,,,,,,,John St. and Powell,San Francisco,California
29,Bullitt,1968,Mark Hopkins Hotel (999 California Street),The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,16.0,21.0,3.0,,,,,,,999 California Street,San Francisco,California
30,The Phone/Jexi,2019,1 Zoe St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,32.0,34.0,10.0,,,,,,,1 Zoe St,San Francisco,California
31,Quitters,2015,Tonga Room,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,21.0,36.0,10.0,,,,,,,Tonga Room,San Francisco,California
32,"Murder in the First, Season 2",2015,Potrero Hill Recreation Center (801 Arkansas Street),,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,54.0,26.0,9.0,,,,,,,801 Arkansas Street,San Francisco,California
33,Dr. Dolittle 2,2001,Hyde Street & Lombard Street,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,,107.0,32.0,6.0,,,,,,,Hyde Street & Lombard Street,San Francisco,California
34,Vertigo,1958,1007 Gough Street,Tennis courts now sit on the site; in the movie the structure was Carlota Valdes' home.,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,100.0,39.0,11.0,,,,,,,1007 Gough Street,San Francisco,California
35,"Murder in the First, Season 3",2016,Patricia's Green,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,22.0,9.0,11.0,,,,,,,Patricia's Green,San Francisco,California
36,Surface,2022,Columbus Avenue between Vallejo and Broadway,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,106.0,23.0,3.0,,,,,,,Columbus Avenue and Vallejo,San Francisco,California
37,The OA Part II,2019,1101 Green St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,107.0,32.0,3.0,,,,,,,1101 Green St,San Francisco,California
38,I’m A Virgo,2023,"Vallejo Street Garage, 766 Vallejo Garage",,Bing Bang Productions Inc,Prime Video,Boots Riley,Boots Riley,Jharrel Jerome,Mike Epps,Carmen Ejogo,106.0,6.0,3.0,,,,,,,"Vallejo Street Garage, 766 Vallejo Garage",San Francisco,California
39,The Last Black Man in San Francisco,2019,801 Innes Ave,Bus stop,"LBMISF, LLC",A27,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,78.0,1.0,9.0,,,,,,,801 Innes Ave,San Francisco,California
40,Nash Bridges,2021,"Pier 9, at Autodesk",,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,77.0,8.0,3.0,,,,,,,"Pier 9, at Autodesk",San Francisco,California
42,Etruscan Smile,2017,"Legion of Honor, 100 34th Ave","California Palace of the Legion of Honor was completed in 1924, and on Armistice Day of that year the doors opened to the public. In keeping with the wishes of the donors, to “honor the dead while serving the living,” it was accepted by the city of San Francisco as a museum of fine arts dedicated to the memory of the 3,600 California men who had lost their lives on the battlefields of France during World War I.","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,7.0,17.0,4.0,,,,,,,100 34th Ave,San Francisco,California
43,Looking Season 2 ep 202,2015,Eddy @ Polk Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,20.0,36.0,10.0,,,,,,,Eddy & Polk Street,San Francisco,California
