unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,query_location,city,state,coordinates_final2,lat_final2,lon_final2,tconst,genres,run_time,avg_rating,numVotes,director1_nconst,director1_name,director2_nconst,director2_name,writer1_nconst,writer1_name,writer2_nconst,writer2_name,writer3_nconst,writer3_name
163,Surface,2022,"2 New Montgomery Street, Palace Hotel",,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,32.0,8.0,10.0,2 New Montgomery Street,San Francisco,California,"37.788233, -122.402038",37.788233,-122.402038,tt13694702,"Drama,Mystery,Thriller",48,6.3,5235.0,nm0589284,Sam Miller,nm3604358,Ed Lilly,nm1957892,Leigh Ann Biety,nm9349624,Raven Jackson,nm5535928,Glenise Mullins
164,So I Married an Axe Murderer,1993,Fog City Diner (1300 Battery Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,77.0,8.0,3.0,1300 Battery Street,San Francisco,California,"37.803503, -122.401842",37.803503,-122.401842,tt0108174,"Comedy,Romance",93,6.5,43354.0,nm0772095,Thomas Schlamme,,,nm0289219,Robbie Fox,,,,
165,Bullitt,1968,Larkin & Chestnut Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,107.0,32.0,6.0,Russian Hill,San Francisco,California,"37.79858, -122.40883",37.79858,-122.40883,tt0062765,"Action,Crime,Thriller",114,7.4,76783.0,nm0946811,Peter Yates,,,nm0874450,Alan Trustman,nm0459067,Harry Kleiner,nm0279302,Robert L. Fish
166,Always Be My Maybe,2019,California Cable Car Line,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,4.0,11.0,4.0,California Cable Car Line,San Francisco,California,"37.782644, -122.468055",37.782644,-122.468055,tt7374948,"Comedy,Romance",101,6.8,63484.0,nm0451274,Nahnatchka Khan,,,nm4399227,Ali Wong,nm1320827,Randall Park,nm1486706,Michael Golamco
167,Sonic the Hedgehog,2020,Areas around TransAmerica Building,,"Paramount Overseas Productions, Inc.",Paramount Pictures,Jeff Fowler,"Josh Miller, Patrick Casey, Oren Uziel",Jim Carrey,James Marsden,Ben Schwartz,21.0,36.0,10.0,Areas around TransAmerica Building,San Francisco,California,"37.796029, -122.403655",37.796029,-122.403655,tt3794354,"Action,Adventure,Comedy",99,6.5,163560.0,nm1733778,Jeff Fowler,,,nm1352459,Pat Casey,nm1351254,Josh Miller,nm0619913,Yuji Naka
168,Joy Luck Club,1993,180 Manchester Street,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,83.0,2.0,2.0,180 Manchester Street,San Francisco,California,"37.744207, -122.414329",37.744207,-122.414329,tt0107282,,,,,nm0911061,Wayne Wang,,,nm0848819,Amy Tan,nm0060103,Ron Bass,,
170,High Crimes,2002,Maiden Lane,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,,19.0,8.0,3.0,Maiden Lane,San Francisco,California,"37.788264, -122.404942",37.788264,-122.404942,tt0257756,"Crime,Drama,Mystery",115,6.4,48851.0,nm0002083,Carl Franklin,,,nm0277511,Joseph Finder,nm0954693,Yuri Zeltser,nm0081060,Grace Cary Bickley
171,The Bachelor,1999,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,106.0,23.0,3.0,666 Filbert Street,San Francisco,California,"37.801501, -122.410213",37.801501,-122.410213,tt0120596,"Comedy,Romance",101,5.1,19114.0,nm0802551,Gary Sinyor,,,nm0576362,Roi Cooper Megrue,nm0369841,Jean C. Havez,nm0115669,Clyde Bruckman
172,Steve Jobs,2015,Intersection of Columbus and Kearny,,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,106.0,6.0,3.0,Intersection of Columbus and Kearny,San Francisco,California,"37.796959260953955, -122.40531060325776",37.79695926095396,-122.4053106,tt2080374,"Biography,Drama",122,7.2,180318.0,nm0000965,Danny Boyle,,,nm0815070,Aaron Sorkin,nm0410596,Walter Isaacson,,
173,Women is Losers,2020,St. John's United Church - 501 Laguna Honda Blvd.,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,49.0,41.0,8.0,501 Laguna Honda Blvd,San Francisco,California,"37.74658, -122.45788",37.74658,-122.45788,tt9024096,,,,,nm2548666,Lissette Feliciano,,,nm2548666,Lissette Feliciano,,,,
174,Pacific Heights,1990,Financial District,,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,,108.0,6.0,3.0,Financial District,San Francisco,California,"37.793648, -122.39894",37.793648,-122.39894,tt0100318,Thriller,102,6.4,23228.0,nm0772259,John Schlesinger,,,nm0002417,Daniel Pyne,,,,
175,Sense8,2015,Corbett St.,"Bicycle chase scene, actors dressed as fake officers present","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,51.0,38.0,5.0,Corbett St.,San Francisco,California,"37.755793, -122.443324",37.755793,-122.443324,tt2431438,"Drama,Mystery,Sci-Fi",60,8.2,164682.0,nm0905154,Lana Wachowski,nm0905152,Lilly Wachowski,nm0833089,J. Michael Straczynski,nm0905154,Lana Wachowski,nm0905152,Lilly Wachowski
176,Swing,2003,Regency Building (1290 Sutter Street),,unlisted,Crazy Dreams Entertainment,Martin Guigui,Mary Keil,Constance Brenneman,,,50.0,21.0,3.0,1290 Sutter Street,San Francisco,California,"37.787866, -122.421446",37.787866,-122.421446,tt0358722,"Comedy,Fantasy,Romance",98,5.7,217.0,nm0346841,Martin Guigui,,,nm0445062,Mary Keil,,,,
177,The Diary of a Teenage Girl,2015,770 Haight St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,26.0,3.0,11.0,770 Haight St,San Francisco,California,"37.771831, -122.43489",37.771831,-122.43489,tt3172532,"Comedy,Drama,Romance",102,6.8,33929.0,nm1716636,Marielle Heller,,,nm6390963,Phoebe Gloeckner,nm1716636,Marielle Heller,,
178,"Smile Again, Jenny Lee",2015,Gaspare's Pizza House (5546 Geary Blvd.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,8.0,29.0,4.0,5546 Geary Blvd,San Francisco,California,"37.780613, -122.47915",37.780613,-122.47915,tt4396558,"Drama,Mystery",110,,,nm0129410,Carlo Caldana,,,nm0129410,Carlo Caldana,,,,
179,Bicentennial Man,1999,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,16.0,21.0,3.0,1100 California Street,San Francisco,California,"37.791882, -122.413371",37.791882,-122.413371,tt0182789,"Drama,Romance,Sci-Fi",132,6.9,125890.0,nm0001060,Chris Columbus,,,nm0001920,Isaac Asimov,nm0798844,Robert Silverberg,nm0443582,Nicholas Kazan
180,Venom: Let There Be Carnage,2021,6th Street and Jessie Street,,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,32.0,34.0,10.0,6th Street and Jessie Street,San Francisco,California,"37.781411, -122.409259",37.781411,-122.409259,tt7097896,"Action,Sci-Fi,Thriller",97,5.9,265307.0,nm0785227,Andy Serkis,,,nm0545150,Kelly Marcel,nm0362766,Tom Hardy,,
181,Nash Bridges,2021,Tayor Street at The Embarcadero,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,99.0,23.0,3.0,Tayor Street & The Embarcadero,San Francisco,California,"37.808586, -122.412528",37.808586,-122.412528,tt0115285,,,,,nm0153191,Jim Charleston,nm0066439,Greg Beeman,nm0193681,Carlton Cuse,nm0825988,Reed Steiner,nm0936210,John Wirth
182,Tales of the City,2019,Clarion Alley,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,53.0,20.0,2.0,Clarion Alley,San Francisco,California,"37.762986, -122.421106",37.762986,-122.421106,tt7087260,Drama,60,7.4,9171.0,nm0693561,Alan Poul,nm1036574,Silas Howard,nm10399659,Hansol Jung,nm0560945,Armistead Maupin,nm10399660,Thomas Page McBee
183,Birth of the Dragon,2016,California at Mason,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,16.0,21.0,3.0,California at Mason,San Francisco,California,"37.80688, -122.4298",37.80688,-122.4298,tt2720826,"Action,Biography,Drama",95,5.7,8904.0,nm1079776,George Nolfi,,,nm0729151,Stephen J. Rivele,nm0929349,Christopher Wilkinson,nm15768028,Michael J. Dorgan
184,Just One Night,2000,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Panoptic Pictures,First Look International,Alan Jacobs,Alan Jacobs,Timothy Hutton,Maria Grazia Cucinotta,,108.0,8.0,3.0,Ferry Building,San Francisco,California,"37.795408, -122.393404",37.795408,-122.393404,tt0201901,Comedy,90,5.5,328.0,nm0414312,Alan Jacobs,,,nm0414312,Alan Jacobs,,,,
185,Blue Jasmine,2013,Trolley Car from Market and 11th,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,21.0,20.0,10.0,Trolley Car from Market and 11th,San Francisco,California,"37.77559615222914, -122.41874363209467",37.77559615222914,-122.4187436,tt2334873,"Comedy,Drama,Romance",98,7.3,213880.0,nm0000095,Woody Allen,,,nm0000095,Woody Allen,,,,
186,Ant-Man and the Wasp,2018,Vallejo St btwn Montgomery and Davis,Stunt scene involving weaving car,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,77.0,8.0,3.0,Vallejo St and Montgomery,San Francisco,California,"37.79918, -122.404069",37.79918,-122.404069,tt5095030,"Action,Adventure,Comedy",118,7.0,457782.0,nm0715636,Peyton Reed,,,nm0571344,Chris McKenna,nm1273099,Erik Sommers,nm0748620,Paul Rudd
187,Big Eyes,2014,Green St. & Grant Ave.,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,106.0,23.0,3.0,Green St. & Grant Ave.,San Francisco,California,"37.799719, -122.407414",37.799719,-122.407414,tt4317898,Documentary,\N,7.2,54.0,\N,,,,nm7021829,Susan Hale Keane,,,,
188,Americana,2015,33 Spruce St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,10.0,31.0,6.0,33 Spruce St,San Francisco,California,"37.79032174264887, -122.45431486088562",37.79032174264887,-122.45431486088562,tt17676734,,,,,nm5136004,Tony Tost,,,nm5136004,Tony Tost,,,,
189,Clickbait,2021,Pier 7,,"MasterKey Studios, Inc.",Netflix,"Brad Anderson, Emma Freeman, Cherie Nowlan, Ben Young","Tony Ayres, Christian White",Zoe Kavan,Betty Gabriel,Adrian Grenier,77.0,8.0,3.0,Pier 7,San Francisco,California,"37.800062, -122.394428",37.800062,-122.394428,tt10888878,,,,,nm0026442,Brad Anderson,nm1175458,Emma Freeman,nm0044016,Tony Ayres,nm2021376,Christian White,nm2613566,Melissa Scrivner-Love
190,The Competition,1980,Pier 39,,Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Amy Irving,Lee Remick,99.0,23.0,3.0,Pier 39,San Francisco,California,"37.809912, -122.410364",37.809912,-122.410364,tt0080556,"Drama,Music,Romance",123,6.6,2920.0,nm0000713,Joel Oliansky,,,nm0000713,Joel Oliansky,nm0755266,William Sackheim,,
191,Surface,2022,Fillmore Street between Haight and Waller,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,26.0,9.0,11.0,Fillmore Street and Haight,San Francisco,California,"37.772113, -122.430461",37.772113,-122.430461,tt13694702,"Drama,Mystery,Thriller",48,6.3,5235.0,nm0589284,Sam Miller,nm3604358,Ed Lilly,nm1957892,Leigh Ann Biety,nm9349624,Raven Jackson,nm5535928,Glenise Mullins
192,Mrs. Doubtfire,1993,100 Embarcadero Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,31.0,4.0,10.0,100 Embarcadero Street,San Francisco,California,"37.79266, -122.390971",37.79266,-122.390971,tt0107614,"Comedy,Drama",125,7.1,295893.0,nm0001060,Chris Columbus,,,nm0277590,Anne Fine,nm0802020,Randi Mayem Singer,nm0228908,Leslie Dixon
193,Chance - Season 1 Pilot,2016,"William Stout Architectural Books, 804 Montgomery St.",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,106.0,6.0,3.0,804 Montgomery St,San Francisco,California,"37.79658, -122.403361",37.79658,-122.403361,tt5620076,,,,,nm0003733,Daniel Attias,nm0499724,Michael Lehmann,nm1017827,Alexandra Cunningham,nm2349355,Kem Nunn,nm15277414,Uros Bor
194,Bullitt,1968,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,,,,Bay Bridge,San Francisco,California,"37.822888, -122.313495",37.822888,-122.313495,tt0062765,"Action,Crime,Thriller",114,7.4,76783.0,nm0946811,Peter Yates,,,nm0874450,Alan Trustman,nm0459067,Harry Kleiner,nm0279302,Robert L. Fish
195,Ballers Season 3,2017,Driving around Taylor/Pacific/Leavenworth,,"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,21.0,36.0,10.0,Driving around Taylor/Pacific/Leavenworth,San Francisco,California,"37.79449178429551, -122.42597479351696",37.79449178429551,-122.42597479351696,tt2891574,,,,,nm0267497,Julian Farino,nm0148116,Simon Cellan Jones,nm0506100,Stephen Levinson,nm3135260,Rashard Mendenhall,nm2483942,Zach Robbins
197,Red Widow,2013,Vallejo Street Garage,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,106.0,6.0,3.0,Vallejo Street Garage,San Francisco,California,"37.798487, -122.40976",37.798487,-122.40976,tt2215399,"Crime,Drama,Thriller",60,6.5,3211.0,nm0317382,Billy Gierhart,nm0568192,Terry McDonough,nm0267679,Ryan Farley,nm0742279,Melissa Rosenberg,nm1081625,Pieter Bart Korthuis
198,"Murder in the First, Season 3",2016,Harriet Alley,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,35.0,37.0,10.0,Harriet Alley,San Francisco,California,"37.776499852439485, -122.40434332427823",37.776499852439485,-122.4043433,tt2402061,,,,,nm1061992,Jesse Bochco,nm0025978,Allison Anders,nm0004766,Steven Bochco,nm2039954,Eric Lodal,nm0189105,Alison Cross
199,The Game,1997,Mason & California Streets (Nob Hill),,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,16.0,21.0,3.0,Nob Hill,San Francisco,California,"37.7945, -122.416",37.7945,-122.416,tt0119174,"Drama,Mystery,Thriller",129,7.7,437217.0,nm0000399,David Fincher,,,nm0104335,John Brancato,nm0274905,Michael Ferris,,
200,Twisted,2004,"McCovey Point, China Basin Park (24 Willy Mays Plaza)",,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,21.0,36.0,10.0,24 Willy Mays Pl,San Francisco,California,"37.778537281410145, -122.38984685767213",37.77853728141015,-122.3898469,tt0315297,"Crime,Drama,Mystery",97,5.3,23271.0,nm0442241,Philip Kaufman,,,nm0861638,Sarah Thorp,,,,
201,Dirty Harry,1971,The Embarcadero,,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,99.0,23.0,3.0,The Embarcadero,San Francisco,California,"37.806565, -122.40458",37.806565,-122.40458,tt0066999,"Action,Crime,Thriller",102,7.7,170712.0,nm0796923,Don Siegel,nm0000142,Clint Eastwood,nm0277807,Harry Julian Fink,nm0277849,Rita M. Fink,nm0718466,Dean Riesner
202,I Am Michael,2015,Flint & 16th (Castro),,That’s Hollywood,,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto,113.0,5.0,5.0,Castro,San Francisco,California,"37.761711092842674, -122.43511661749214",37.761711092842674,-122.43511661749214,tt3713030,"Biography,Drama,Romance",98,5.6,5929.0,nm0446539,Justin Kelly,,,nm0446539,Justin Kelly,nm1578047,Stacey Miller,nm6991297,Benoit Denizet Lewis
203,Star Trek IV: The Voyage Home,1986,Golden Gate Park,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,9.0,12.0,4.0,Golden Gate Park,San Francisco,California,"37.766058, -122.477414",37.766058,-122.477414,tt0092007,"Action,Adventure,Comedy",119,7.3,92486.0,nm0000559,Leonard Nimoy,,,nm0734472,Gene Roddenberry,nm0000559,Leonard Nimoy,nm0071790,Harve Bennett
204,San Andreas,2015,2nd St. at Townsend St.,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,31.0,8.0,10.0,2nd St. & Townsend St.,San Francisco,California,"37.780618, -122.390544",37.780618,-122.390544,tt2126355,"Action,Adventure,Thriller",114,6.1,260350.0,nm0679031,Brad Peyton,,,nm0193681,Carlton Cuse,nm1061002,Andre Fabrizio,nm0664920,Jeremy Passmore
205,Tales of the City,2019,Lyon and Broadway,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,102.0,30.0,6.0,Lyon and Broadway,San Francisco,California,"37.79282397198083, -122.44643841674979",37.79282397198083,-122.4464384,tt7087260,Drama,60,7.4,9171.0,nm0693561,Alan Poul,nm1036574,Silas Howard,nm10399659,Hansol Jung,nm0560945,Armistead Maupin,nm10399660,Thomas Page McBee
206,"Play it Again, Sam",1972,Balboa at 22nd Avenue,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,8.0,29.0,4.0,Balboa & 22nd Avenue,San Francisco,California,"37.77636537048136, -122.48133297627498",37.77636537048136,-122.481333,tt0069097,,,,,nm0006889,Herbert Ross,,,nm0000095,Woody Allen,,,,
207,The Phone/Jexi,2019,Transbay Terminal - Fremont at Minna,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,32.0,8.0,10.0,Transbay Terminal - Fremont at Minna,San Francisco,California,"37.78988269644367, -122.395994919728",37.78988269644367,-122.3959949,tt9354944,,,,,nm0524190,Jon Lucas,nm0601859,Scott Moore,nm0524190,Jon Lucas,nm0601859,Scott Moore,,
208,Looking,2014,Treasure Island,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,36.0,37.0,10.0,Treasure Island,San Francisco,California,"37.825264, -122.36998",37.825264,-122.36998,tt2581458,"Comedy,Drama,Romance",30,8.2,21934.0,nm0354091,Andrew Haigh,nm0044803,Jamie Babbit,nm2328145,Michael Lannan,nm6152442,J.C. Lee,nm0354091,Andrew Haigh
209,Surface,2022,Palace of Fine Arts,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,17.0,13.0,6.0,Palace of Fine Arts,San Francisco,California,"37.802833, -122.448372",37.802833,-122.448372,tt13694702,"Drama,Mystery,Thriller",48,6.3,5235.0,nm0589284,Sam Miller,nm3604358,Ed Lilly,nm1957892,Leigh Ann Biety,nm9349624,Raven Jackson,nm5535928,Glenise Mullins
210,Venom: Let There Be Carnage,2021,"Grace Cathedral Church, 1100 California Street",,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,16.0,21.0,3.0,1100 California Street,San Francisco,California,"37.791882, -122.413371",37.791882,-122.413371,tt7097896,"Action,Sci-Fi,Thriller",97,5.9,265307.0,nm0785227,Andy Serkis,,,nm0545150,Kelly Marcel,nm0362766,Tom Hardy,,
211,Sense8,2015,"""Metzger's Apt"" 151 Alice B. Toklas Pl.","Overnight scene involving aggressive arguments between actors, spfx shoot out involved","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,20.0,36.0,10.0,"""Metzger's Apt"" 151 Alice B. Toklas Pl.",San Francisco,California,"37.785091, -122.420674",37.785091,-122.420674,tt2431438,"Drama,Mystery,Sci-Fi",60,8.2,164682.0,nm0905154,Lana Wachowski,nm0905152,Lilly Wachowski,nm0833089,J. Michael Straczynski,nm0905154,Lana Wachowski,nm0905152,Lilly Wachowski
213,The Last Black Man in San Francisco,2019,"Ford's Grocery Store, 1496 Oakdale Ave",,"LBMISF, LLC",A42,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,86.0,1.0,9.0,1496 Oakdale Ave,San Francisco,California,"37.733617, -122.388264",37.733617,-122.388264,tt4353250,Drama,121,7.3,22171.0,nm7050300,Joe Talbot,,,nm8629338,Jimmie Fails,nm7050300,Joe Talbot,nm3635307,Rob Richert
214,I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",RKO Radio Pictures,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,Oskar Homolka,16.0,21.0,3.0,950 Mason Street,San Francisco,California,"37.792361, -122.410234",37.792361,-122.410234,tt0040458,"Drama,Family",134,7.9,6120.0,nm0828419,George Stevens,,,nm0090840,DeWitt Bodeen,nm0886668,John Van Druten,nm0285361,Kathryn Forbes
216,Silicon Valley Season 4,2017,Moscone Center Parking Garage/3rd St.,,"Brown Hill Productions, LLC",HBO,Mike Judge,John Altschuler,Thomas Middleditch,T.J. Miller,Josh Brener,86.0,1.0,9.0,Moscone Center Parking Garage/3rd St.,San Francisco,California,"37.78471984160833, -122.39957671904885",37.78471984160833,-122.39957671904884,tt2575988,,,,,nm0431918,Mike Judge,nm0073688,Alec Berg,nm1014365,John Altschuler,nm0431918,Mike Judge,nm1015106,Dave Krinsky
217,The Wedding Planner,2001,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,16.0,21.0,3.0,1100 California Street,San Francisco,California,"37.791882, -122.413371",37.791882,-122.413371,tt0209475,"Comedy,Romance",103,5.3,87735.0,nm0788202,Adam Shankman,,,nm0266184,Pamela Falk,nm0963400,Michael Ellis,,
218,"Looking ""Special""",2016,"The End Up, 401 6th Streeet",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,32.0,34.0,10.0,401 6th St,San Francisco,California,"37.777302, -122.403735",37.777302,-122.403735,tt4552118,,,,,nm0354091,Andrew Haigh,,,nm0354091,Andrew Haigh,nm2328145,Michael Lannan,,
219,Stigmata,1999,19th and Kansas St.,,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer Distributing,Rupert Wainwright,Tom Lazarus,Patricia Arquette,Gabriel Byrne,,54.0,26.0,9.0,19th and Kansas St.,San Francisco,California,"37.76083924454405, -122.40321655767211",37.76083924454405,-122.4032166,tt0145531,"Horror,Mystery",103,6.2,72896.0,nm0906548,Rupert Wainwright,,,nm0493842,Tom Lazarus,nm0707931,Rick Ramage,,
220,Super Pumped: The Battle for Uber,2022,California Street at Sansome Street,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,108.0,8.0,3.0,California Street & Sansome Street,San Francisco,California,"37.793067, -122.401152",37.793067,-122.401152,tt11173006,,,,,nm0001093,John Dahl,nm0297489,Zetna Fuentes,nm12608105,Mike Isaac,nm0002718,Brian Koppelman,nm0505522,David Levien
221,Patty Hearst,1988,Bank of America (38th Street at Balboa Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Ving Rhames,8.0,29.0,4.0,Bank of America (38th Street & Balboa Street),San Francisco,California,"37.775649351043505, -122.49847267627504",37.77564935104351,-122.4984727,tt0095836,"Biography,Drama",108,6.3,2554.0,nm0001707,Paul Schrader,,,nm0372553,Patricia Hearst,nm0608376,Alvin Moscow,nm0443582,Nicholas Kazan
